Date,Tweets_Neg_Score,Tweets_Neu_Score,Tweets_Pos_Score,Tweets_Com_Score
2010-06-29,0.01,0.944,0.046,0.6702
2010-06-30,0.065,0.886,0.049,-0.2385
2010-07-01,0.054,0.879,0.067,0.1568
2010-07-02,0.0,0.845,0.155,0.9696
2010-07-03,0.0,1.0,0.0,0.0
2010-07-04,0.0,0.737,0.263,0.6124
2010-07-05,0.0,1.0,0.0,0.0
2010-07-06,0.0,0.864,0.136,0.296
2010-07-07,0.0,1.0,0.0,0.0
2010-07-08,0.0,0.64,0.36,0.5423
2010-07-09,0.047,0.684,0.269,0.9507
2010-07-10,0.0,0.765,0.235,0.6114
2010-07-12,0.0,1.0,0.0,0.0
2010-07-13,0.0,0.949,0.051,0.9109
2010-07-15,0.099,0.901,0.0,-0.0258
2010-07-16,0.0,0.948,0.052,0.4939
2010-07-17,0.0,0.861,0.139,0.6486
2010-07-18,0.102,0.78,0.119,0.4055
2010-07-19,0.0,1.0,0.0,0.0
2010-07-20,0.197,0.577,0.226,-0.1027
2010-07-21,0.121,0.842,0.038,-0.9659
2010-07-23,0.0,1.0,0.0,0.0
2010-07-25,0.0,0.802,0.198,0.8922
2010-07-26,0.0,1.0,0.0,0.0
2010-07-27,0.0,0.951,0.049,0.4215
2010-07-28,0.0,1.0,0.0,0.0
2010-07-29,0.024,0.911,0.064,0.8963
2010-08-02,0.0,0.807,0.193,0.9041
2010-08-03,0.0,1.0,0.0,0.0
2010-08-04,0.0,0.833,0.167,0.6808
2010-08-05,0.106,0.894,0.0,-0.5574
2010-08-06,0.047,0.834,0.119,0.9679
2010-08-08,0.0,1.0,0.0,0.0
2010-08-09,0.0,1.0,0.0,0.0
2010-08-10,0.056,0.944,0.0,-0.3182
2010-08-11,0.0,1.0,0.0,0.0
2010-08-12,0.0,0.926,0.074,0.594
2010-08-13,0.0,1.0,0.0,0.0
2010-08-14,0.09,0.803,0.107,0.3873
2010-08-16,0.041,0.668,0.292,0.9459
2010-08-17,0.0,0.847,0.153,0.7506
2010-08-18,0.079,0.768,0.154,0.4588
2010-08-19,0.0,0.887,0.113,0.6705
2010-08-20,0.0,0.922,0.078,0.7096
2010-08-21,0.0,0.663,0.337,0.6808
2010-08-22,0.052,0.885,0.064,0.3164
2010-08-24,0.0,0.922,0.078,0.5574
2010-08-25,0.0,1.0,0.0,0.0
2010-08-26,0.0,0.918,0.082,0.3818
2010-08-27,0.0,0.901,0.099,0.3182
2010-08-28,0.0,0.927,0.073,0.636
2010-08-30,0.0,0.883,0.117,0.9835
2010-09-01,0.05,0.862,0.088,0.5859
2010-09-03,0.0,1.0,0.0,0.0
2010-09-04,0.029,0.794,0.177,0.9324
2010-09-05,0.021,0.851,0.128,0.8972
2010-09-06,0.0,1.0,0.0,0.0
2010-09-07,0.065,0.908,0.028,-0.4678
2010-09-09,0.0,1.0,0.0,0.0
2010-09-12,0.0,1.0,0.0,0.0
2010-09-13,0.0,0.917,0.083,0.4404
2010-09-14,0.016,0.915,0.069,0.7556
2010-09-15,0.0,0.924,0.076,0.9372
2010-09-16,0.046,0.795,0.159,0.6597
2010-09-17,0.0,1.0,0.0,0.0
2010-09-20,0.0,0.877,0.123,0.8065
2010-09-27,0.0,1.0,0.0,0.0
2010-09-28,0.0,0.939,0.061,0.25
2010-09-29,0.0,0.802,0.198,0.8466
2010-09-30,0.029,0.914,0.057,0.5828
2010-10-01,0.018,0.856,0.126,0.9811
2010-10-04,0.073,0.927,0.0,-0.4574
2010-10-06,0.113,0.685,0.202,0.717
2010-10-07,0.112,0.836,0.052,-0.7127
2010-10-08,0.044,0.784,0.172,0.9804
2010-10-09,0.034,0.802,0.164,0.8972
2010-10-12,0.0,0.748,0.252,0.7256
2010-10-14,0.055,0.911,0.034,-0.504
2010-10-15,0.0,0.848,0.152,0.9062
2010-10-16,0.014,0.835,0.151,0.965
2010-10-17,0.038,0.738,0.224,0.9758
2010-10-19,0.0,1.0,0.0,0.0
2010-10-21,0.0,0.847,0.153,0.4374
2010-10-22,0.0,1.0,0.0,0.0
2010-10-23,0.0,0.837,0.163,0.9626
2010-10-24,0.0,1.0,0.0,0.0
2010-10-25,0.029,0.872,0.099,0.9253
2010-10-27,0.0,0.878,0.122,0.3612
2010-10-28,0.0,0.812,0.188,0.4588
2010-10-29,0.0,1.0,0.0,0.0
2010-10-30,0.073,0.927,0.0,-0.5423
2010-10-31,0.0,0.902,0.098,0.4871
2010-11-01,0.0,0.918,0.082,0.3802
2010-11-02,0.018,0.861,0.122,0.9422
2010-11-04,0.0,0.968,0.032,0.4939
2010-11-05,0.0,1.0,0.0,0.0
2010-11-06,0.139,0.646,0.215,0.5871
2010-11-07,0.0,0.805,0.195,0.8655
2010-11-08,0.095,0.803,0.102,0.0516
2010-11-09,0.0,0.951,0.049,0.3182
2010-11-10,0.082,0.9,0.019,-0.8399
2010-11-12,0.02,0.913,0.067,0.743
2010-11-13,0.0,0.847,0.153,0.7003
2010-11-14,0.0,0.852,0.148,0.8271
2010-11-15,0.113,0.666,0.22,0.6523
2010-11-16,0.032,0.803,0.165,0.6996
2010-11-17,0.035,0.947,0.018,-0.3182
2010-11-18,0.022,0.941,0.037,0.2481
2010-11-20,0.052,0.814,0.134,0.6689
2010-11-21,0.0,0.887,0.113,0.4215
2010-11-22,0.0,0.893,0.107,0.8025
