Date,Content
2010-06-29,#Tesla Motors Raises $226 Million in First IPO of U.S. Carmaker in 54 Years - 
2010-07-06,#Tesla Shares Fall Below Electric-Car Maker's IPO Price of $17 in New York -  ^nm
2010-12-27,"Tesla Declines Most Since July After Lock-Up Ends, Shares Rated a `Sell' -   $TSLA  ^nm"
2011-05-25,Tesla CEO: No interest in selling electric car company |  (via @alanohnsman and @emilychangTV)
2011-07-20,Tesla wins $100 million Toyota supply deal | 
2012-05-07,"Toyota to sell electric RAV4 with Tesla Motor for $49,800 | "
2012-08-29,"Obama's new fuel-economy rules give sweeteners to Honda, Tesla | "
2012-12-05,Billionaire Elon Musk's Tesla Motors was cash flow positive last week | 
2013-02-11,Tesla falls after newspaper's test drive shows range shortens under cold-weather conditions | 
2013-02-14,Tesla CEO steps up defense of electric car after @NYTimes test drive | 
2013-02-21,Tesla Motors plans to increase Model S production by at least 25% this year after startup snags | 
2013-02-25,Tesla CEO says New York Times article may have reduced market cap by $100 million | 
2013-03-05,"U.K. appeals court dismisses libel suit from Tesla against BBC program “Top Gear"" | "
2013-03-08,Tesla arranges to repay government loans five years ahead of schedule | 
2013-03-26,"Electric-car maker Tesla CEO teases ""exciting"" announcement on Twitter | "
2013-04-01,Tesla overcomes controversy over sedan's performance after turning first quarterly profit | 
2013-04-02,"WATCH LIVE: Tesla Motors CEO talks about his company's new financing package and the future of electric cars | Tesla Motors to begin financing program for Model S sedan | Tesla Motors leasing announcement comes on heels of first quarterly profits in company history | MORE: After 36 months, leasers have right to sell Model S to Tesla for the same residual value percentage as Mercedes S ClassMORE: Tesla to permit leasing for $500/month for Model SFLASH: Tesla Motors to begin leasing program for Model S electric sedansAhead of ""big announcement,"" Tesla Motors has quarterly profit for first time ever | "
2013-04-03,"Tesla's CEO claims that the Model S sedan is the ""car of the future"" -- WATCH: Tesla drops as analysts question new Model S sedan financing offer | FLASH: Tesla emailed waitlist to help reach first profitable quarter; asked customers to complete Model S orders by March 31Tesla CEO Elon Musk touts ""true out-of-pocket"" financing for Model S sedan | Monthly payments for Tesla's Model S electric supercar could be as low as $500 | "
2013-04-05,"Tesla CEO Musk calls sales e-mail encouraging wait-list customers to buy was ""overzealous"" | "
2013-04-10,Tesla CEO presses Texas lawmakers to allow electric carmakers to sell directly to consumers | 
2013-04-25,"Nissan joins GM, Tesla in promoting money-saving nature of battery-powered cars over green benefits | "
2013-04-27,Tesla's Model S zooms past Chevrolet's Volt in the electric-car race | 
2013-05-03,Tesla adjusting lease-style financing plan for Model S sedan to address criticisms | 
2013-05-07,Tesla CEO says company considering adding Google's driverless technology to its vehicles | 
2013-05-09,"Tesla's Model S, Motor Trend’s 2013 “Car of the Year,” receives highest rating from Consumer Reports | Tesla Motors posts first quarterly profit on Model S sales | "
2013-05-10,"Traders who shorted Tesla stock are eating crow, doubling automaker's stock | "
2013-05-12,"Tesla's market capitalization totals $8 billion, exceeding $7.8 billion for Italy's Fiat | "
2013-05-13,"Sales of California, U.S. environmental credits generated 15% of Tesla's revenue | "
2013-05-14,Tesla’s Straubel keeps electric motors whirring as stock surges 57% | 
2013-05-15,Bears blindsided by Tesla forced to buy $276 million worth of automaker’s shares | 
2013-05-16,Tesla surges up to 12% on investor confidence in CEO plan to boost stake Tesla to sell as much as $830 million in shares to repay federal loans | 
2013-05-17,Tesla plans to raise $1.08 billion to repay U.S. loan 
2013-05-21,Tesla CEO Musk says electric auto-maker should repay government loan Wednesday | 
2013-05-22,BREAKING: Tesla Motors repays $465 million U.S. vehicle loan in fullTesla the first recipient of Energy Department vehicle loan to pay off its debt | 
2013-05-23,"With early repayment of Tesla’s loan, CEO Elon Musk free to run electric-car maker for himself | "
2013-05-24,Tesla CEO Musk says stock surge fueled early loan payoff | 
2013-05-28,Tesla rises past $100 level for first time | 
2013-05-30,"Tesla tripling number of its solar-powered supercharger stations | Tesla expanding network of fast-charging stations, letting electric owners drive coast-to-coast | "
2013-05-31,Tesla to expand line of electric vehicles with compact sport-utility vehicle: CEO Musk | 
2013-06-01,Musk says small SUV next in Tesla's all-electric arsenal as stock triples | 
2013-06-05,Tesla can make electric cars efficiently enough to achieve Porsche's profit margin: CEO Musk | 
2013-06-19,"Tesla recalls 1,228 Model S sedans in for manufacturing flaw | Tesla readies service to rapidly swap car’s battery with charged pack | "
2013-06-21,Tesla unveils battery swapping system for Model S sedan that charges auto in 90 seconds  Tesla unveils battery swapping system for Model S sedan | 
2013-06-24,"Tesla trades for 816 times estimated earnings, highest among automakers valued at more than $5 billion | "
2013-06-25,Does Elon Musk want to sell Tesla to Google? | 
2013-07-01,Tesla surges to record intraday high after analyst almost doubled price target | 
2013-07-05,Tesla receives enough Model S to double number of electric cars on roads of Hong Kong | Tesla says it received hundreds of Model S orders in Hong Kong | 
2013-07-09,Tesla rises to record intraday price after elevation to Nasdaq-100 Index | Tesla to join Nasdaq 100 index as Oracle leaves for NYSE | BREAKING: Tesla to Replace Oracle on NASDAQ-100 Index Beginning July 15 
2013-07-10,"Tesla, Ford reach 100-week highs as American automakers surge | "
2013-07-11,Tesla building Model S sedans faster than 400-a-week goal as demand increases: Musk | 
2013-07-12,Tesla Model S output speeds past 400 per week -- WATCH: 
2013-07-15,Tesla CEO Musk to unveil designs for solar-powered inter-city passenger transport system | 
2013-07-16,Tesla falls on Goldman Sachs price target | Tesla CEO Musk morphs from Tony Stark to Henry Ford | 
2013-07-18,Inside Tesla's Model S factory -- WATCH: GM CEO sees Tesla as potential disruptive force to automotive industry | 
2013-08-07,"A tour of Tesla's factory floor -- WATCH: Tesla reports second-quarter profit, beating analysts’ expectations for a loss | BREAKING: Tesla reports 2Q earnings at 20C per share, beating estimated loss of 20C per share, plans to open first store in ChinaTesla seen posting loss after first-ever quarterly profit after financing program cut into revenue | "
2013-08-08,Tesla rises as much as 18% after posting second-quarter results surpassing analysts’ estimates | 
2013-08-22,"Tesla CEO weighs Europe, Asia plants for mass-market car | "
2013-08-23,Tesla aiming for China as hundreds pre-order in Hong Kong | Tesla aiming for China after hundreds of Hong Kong orders | 
